review_id,k,scale,theta,I2,tau2,entropy,kl_divergence,mutual_info,fisher_info,norm_entropy_index,n_modes,skewness,kurtosis,entropy_class
CD015636,5,ratio,-1.4275,0,0,0.7123,4.4664,0.0138,50.01,0.1256,2,-1.062,-0.637,Concentrated
CD015673,14,ratio,-0.1174,0,0,0.7581,59.3588,0.6567,251.74,0.087,3,1.624,5.964,Concentrated
CD015698,3,ratio,0.52,0,0,1.6563,0.5721,,2.06,0.0303,1,0,0,Concentrated
CD015721,6,ratio,0.0161,27.6,0.0019,-0.6739,1.5982,0.4055,4048.75,0.199,3,1.897,7.695,Concentrated
CD015746,6,ratio,-1.6091,66.6,0.191,1.2234,1.027,0.6365,67.56,0.2878,1,0.048,-0.1,Concentrated
CD015749,3,ratio,-0.1445,43.3,0.1562,0.9979,0.099,,14.67,0.3382,1,0,0,Moderate
CD015751,3,ratio,0.4425,0,0,1.6,0.7892,,2.71,0.045,1,0,0,Concentrated
CD015779,6,ratio,-0.9324,0,0,1.6391,9.5796,0.6365,12.12,0.0866,2,-2.213,3.289,Concentrated
CD015786,10,ratio,-1.3609,0,0,1.9721,5.4225,1.3322,4.66,0.0626,2,2.019,3.61,Concentrated
CD015788,8,ratio,0.1667,70.4,0.0294,0.0094,0.2126,0.6931,789.24,0.2548,2,1.299,0.793,Concentrated
CD015804,8,ratio,-0.0293,3.2,0.0003,-0.0322,44.8657,1.0397,1152.32,0.1816,3,-2.31,25.906,Concentrated
CD015820,4,ratio,0.3284,0,0,1.5733,5.9598,,8.18,0.0974,1,0.411,0.122,Concentrated
CD015824,5,ratio,-0.6349,0,0,1.0334,17.9642,0.0138,60.63,0.1967,2,2.272,15.569,Concentrated
CD015830,4,difference,-1.0739,28.0,0.1384,1.4459,0.9043,,13.76,0.3072,1,-0.681,0.1,Moderate
CD015849,7,ratio,-0.164,22.9,0.0071,1.283,56.1728,0.4101,387.59,0.0343,3,3.16,26.837,Concentrated
CD015854,5,ratio,-0.8275,0,0,1.9283,2.4175,0.0138,2.84,0.1199,1,0.776,-0.53,Concentrated
CD015894,7,difference,-0.5632,62.0,0.1048,0.6427,0.0859,0.4101,111.02,0.2846,1,0.025,-1.02,Concentrated
