review_id,k,scale,theta,I2,tau2,entropy,kl_divergence,mutual_info,fisher_info,norm_entropy_index,n_modes,skewness,kurtosis,entropy_class
CD009609,8,ratio,-0.5905,42.0,0.0877,1.4778,5.4985,1.0397,105.05,0.2573,4,0.361,16.071,Concentrated
CD009679,24,ratio,-0.0291,50.8,0.4996,1.9769,1.4604,0.5611,61.97,0.1301,2,-0.134,0.294,Concentrated
CD009730,10,ratio,-0.0391,8.4,0.1151,1.999,4.9335,1.3322,8.73,0.1384,1,-0.574,0.245,Concentrated
CD009749,25,ratio,0.0594,0,0,1.5937,79.6482,0.5409,94.01,0.1003,4,-0.482,11.143,Concentrated
CD009788,5,ratio,-0.388,6.0,0.0116,1.2579,16.6498,0.0138,55.45,0.2006,2,-6.726,46.383,Concentrated
CD009945,3,ratio,0.7794,0,0,1.1765,1.269,,8.12,0.0951,1,0,0,Concentrated
CD010001,25,ratio,0.3713,21.3,0.0295,0.9745,4.3177,0.52,242.75,0.1326,2,0.544,0.391,Concentrated
CD010145,9,ratio,1.2174,0,0,1.8646,6.936,0.8487,6.98,0.0359,1,1.38,0.709,Concentrated
CD010189,6,ratio,0.0966,33.7,0.0237,0.509,1.0948,0.4055,152.31,0.196,1,0.705,-0.747,Concentrated
CD010216,7,ratio,-0.0746,0,0,1.5161,24.279,0.4101,36.02,0.1574,2,-0.119,3.502,Concentrated
CD010290,7,ratio,0.3627,0,0,1.5357,5.1449,0.2121,10.73,0.077,2,-0.35,-1.219,Concentrated
CD010441,3,ratio,-0.0598,0,0,-0.7167,2.6978,,531.95,0.2111,1,0,0,Concentrated
CD010533,3,ratio,-1.5761,0,0,1.7694,1.4205,,2.43,0.1113,1,0,0,Concentrated
CD010583,3,ratio,-0.5351,66.1,0.5956,1.5075,0.2235,,14.19,0.3034,1,0,0,Moderate
CD010779,5,difference,0.0629,21.8,0.0298,0.6949,0.8933,0.0138,47.86,0.2293,1,-0.805,-0.364,Concentrated
CD010856,12,difference,0.983,98.4,0.55,1.0706,0.2371,0.6931,1480.9,0.4911,2,0.59,-0.384,Moderate
CD010966,67,ratio,-0.2072,0,0,1.8637,260.4147,0.3805,172.24,0.0639,4,1.216,11.504,Concentrated
CD011039,5,ratio,-0.2753,77.0,0.2468,1.1299,0.3626,0.2911,85.89,0.3732,2,-1.171,1.155,Moderate
CD011044,26,ratio,0.5725,37.1,0.0716,1.2106,3.7008,0.4551,221.2,0.132,2,0.855,2.12,Concentrated
CD011120,9,ratio,0.1035,0,0,1.0317,17.6312,0.5406,64.53,0.0696,2,0.287,-0.551,Concentrated
CD011197,6,ratio,0.2627,0,0,1.9187,8.8123,1.0986,7.42,0.1467,2,-0.727,0.497,Concentrated
CD011204,13,ratio,0.4369,68.4,0.0895,0.6104,0.2775,0.8305,336.79,0.1938,1,0.704,-0.635,Concentrated
CD011305,3,ratio,0.0047,1.4,0.0208,1.9337,1.6474,,2.3,0.2764,1,0,0,Concentrated
CD011330,4,ratio,1.2931,0,0,1.9555,1.3439,,1.83,0.1028,1,-0.496,-1.399,Concentrated
CD011381,46,ratio,0.1924,68.4,0.2234,1.4416,1.3189,0.3825,454.48,0.1613,2,0.333,0.901,Concentrated
CD011535,38,ratio,3.292,29.2,0.2172,1.7194,2.3767,0.4258,74.93,0.0789,2,-0.422,0.28,Concentrated
CD011575,4,ratio,0.1216,73.2,0.1037,0.3492,0.0494,,110.06,0.3818,1,0.145,-1.629,Moderate
CD011600,5,ratio,0.4633,0,0,0.3526,6.9586,0.2911,125.04,0.1762,2,-1.642,1.533,Concentrated
CD011626,11,ratio,0.5696,30.0,0.3305,1.9554,2.0125,1.2161,18.61,0.1175,2,-0.222,-0.373,Concentrated
CD011627,8,ratio,-0.4069,68.8,0.6937,1.7381,0.5386,1.0397,27.6,0.3181,2,-0.366,0.676,Moderate
CD011670,7,ratio,-0.0183,45.2,0.3688,1.7414,1.4405,0.6082,17.57,0.2431,2,1.22,1.527,Concentrated
CD011671,17,ratio,-0.2485,25.3,0.0132,0.5438,4.6829,0.773,452.5,0.1837,2,-0.53,5.472,Concentrated
CD011689,31,ratio,1.3332,86.6,0.288,1.5993,2.1596,0.396,895.23,0.2042,3,1.711,6.675,Concentrated
CD011762,29,ratio,-0.0351,10.3,0.0417,1.8252,18.3847,0.5817,93.34,0.1187,2,0.8,3.086,Concentrated
CD011778,38,difference,0.4376,97.4,0.1838,0.7106,0.1222,0.1932,9942.81,0.2978,1,0.933,1.003,Concentrated
CD011793,13,ratio,-0.1285,0,0,1.7787,12.0262,0.9372,13.25,0.1003,2,-0.419,-1.213,Concentrated
CD011841,4,ratio,0.1318,8.6,0.0239,1.3768,5.739,,23.91,0.2907,1,-0.35,6.004,Concentrated
CD011851,4,ratio,-0.1887,0,0,1.6362,10.2707,,12.31,0.1178,1,-4.582,20.666,Concentrated
CD011858,3,ratio,0.4536,5.7,0.0895,1.9876,2.0504,,3.04,0.3163,1,0,0,Moderate
CD011866,28,ratio,-0.1932,25.5,0.0154,0.835,8.373,0.4422,674.87,0.1175,4,0.198,3.624,Concentrated
CD011885,7,ratio,0.2229,42.6,0.1411,1.5936,2.5312,0.2121,53.38,0.1991,2,0.188,2.742,Concentrated
CD012067,38,ratio,0.6381,94.0,1.0609,1.7216,0.278,0.3983,602.4,0.2318,2,1.407,3.14,Concentrated
CD012079,52,ratio,0.4463,48.9,0.7012,2.048,1.3401,0.8124,72.99,0.1168,2,0.882,-0.006,Concentrated
CD012170,8,difference,-2.0445,93.9,14.5461,2.9576,0.398,0.6931,14.68,0.1297,2,1.956,2.534,Concentrated
CD012178,5,ratio,-0.0913,0,0,1.5658,3.3306,0.0138,7.27,0.097,2,-1.132,-0.353,Concentrated
CD012186,105,ratio,0.2843,58.1,0.1822,1.6235,2.9772,0.2559,819.8,0.118,3,-0.198,2.528,Concentrated
CD012214,4,ratio,1.172,0,0,1.49,3.2469,,7.9,0.1673,1,0.824,-0.309,Concentrated
CD012268,21,difference,-0.1513,45.7,0.1552,2.2494,15.7724,0.4297,310.23,0.0955,7,0.84,16.286,Concentrated
CD012397,3,ratio,0.0329,95.6,1.038,0.9821,0.4268,,70.16,0.9546,1,0,0,Chaotic
CD012426,4,ratio,-0.0352,0,0,1.1292,26.6758,,46.92,0.0899,1,5.234,45.228,Concentrated
CD012429,4,ratio,-0.0171,0,0,1.7021,2.2592,,4.07,0.1488,1,0.714,-1.224,Concentrated
CD012445,5,difference,-0.0912,64.4,0.1929,1.0224,0.1402,0.0138,48.92,0.4065,1,-0.248,-0.935,Moderate
CD012503,17,ratio,-0.1657,0.8,0.0016,1.688,152.6568,0.8037,215.91,0.1141,3,-2.941,14.576,Concentrated
CD012570,10,ratio,-0.0077,0,0,0.2069,50.0559,0.9163,598.81,0.0482,3,-0.327,-1.038,Concentrated
CD012572,4,ratio,0.7305,0,0,1.9156,6.3318,,4.11,0.186,1,-2.626,6.044,Concentrated
CD012586,42,ratio,-0.0578,0,0,0.4583,153.2445,0.4184,1014.52,0.0622,3,2.652,18.048,Concentrated
CD012623,9,ratio,0.0571,25.9,0.0024,-0.0923,12.9317,0.5406,1530.24,0.1984,2,2.855,26.534,Concentrated
CD012635,6,ratio,-0.0308,28.0,0.0169,0.9103,7.4828,1.0986,212.33,0.2762,3,0.856,15.915,Concentrated
CD012642,4,ratio,0.3651,0,0,1.5568,15.0306,,17.05,0.0944,1,2.405,5.24,Concentrated
CD012693,8,ratio,-0.7774,28.7,0.1469,1.7857,3.738,0.6931,25.57,0.2095,1,0.386,0.585,Concentrated
CD012712,20,ratio,-0.819,0,0,0.8095,38.2846,0.9425,214.79,0.0716,2,-2.599,6.84,Concentrated
CD012718,5,ratio,0.4882,83.6,0.0559,-0.032,0.0549,0.0138,463.65,0.4779,1,-0.122,-1.043,Moderate
CD012757,3,ratio,-0.1483,0,0,-0.7042,3.7071,,491.34,0.1517,1,0,0,Concentrated
CD012850,5,ratio,-0.0373,9.5,0.0069,0.8277,8.6485,0.0138,96.41,0.2601,3,-1.409,9.206,Concentrated
CD012891,13,ratio,-0.597,74.9,0.2034,1.2659,0.7902,0.8305,230.96,0.2212,1,-0.873,0.168,Concentrated
CD012905,12,ratio,-0.3734,42.3,0.063,1.2178,9.414,1.0397,151.75,0.1714,2,2.398,14.001,Concentrated
CD012925,6,ratio,-0.135,79.7,0.0469,0.0244,0.1867,0.6365,709.77,0.3301,2,-2.255,4.951,Moderate
CD012942,36,ratio,0.0284,51.7,0.0432,0.5257,0.7939,0.2151,905.74,0.1514,2,-0.348,-0.621,Concentrated
CD012967,3,ratio,0.3227,0,0,1.6656,1.6114,,3.16,0.1035,1,0,0,Concentrated
CD012993,13,ratio,0.1398,32.3,0.11,1.2108,1.3228,1.0438,59.22,0.156,1,0.813,-0.361,Concentrated
CD013042,13,ratio,0.0774,48.3,0.0093,0.253,7.4549,0.9372,1455.43,0.1333,3,5.132,29.596,Concentrated
CD013051,7,ratio,0.6274,90.1,0.2259,0.3747,0.2221,0.4101,1436.35,0.2635,3,3.454,11.23,Concentrated
CD013052,5,ratio,0.0185,0,0,-0.4798,13.449,0.0138,1104.66,0.1012,2,-3.065,13.747,Concentrated
CD013053,4,ratio,0.4217,0,0,0.0043,3.4054,,137.19,0.1544,1,1.933,2.651,Concentrated
CD013054,8,ratio,-0.2663,47.4,0.0084,-0.3978,0.5346,1.0397,999.77,0.1487,2,-1.031,-0.622,Concentrated
CD013055,3,ratio,0.6838,0,0,0.0331,0.4759,,49.15,0.0047,1,0,0,Concentrated
CD013056,4,ratio,-0.3089,81.4,0.0526,0.1283,1.0966,,432.46,0.4842,1,-4.088,17.818,Moderate
CD013059,5,ratio,1.2367,0,0,2.0112,4.3679,0.0138,3.42,0.18,2,-1.89,3.148,Concentrated
CD013071,16,ratio,-0.2997,0,0,1.8231,37.2825,0.8974,32.09,0.1062,2,0.254,4.281,Concentrated
CD013105,5,ratio,-0.7443,49.3,0.4552,1.6566,0.5839,0.2911,15.37,0.1853,2,-1.277,-0.298,Concentrated
CD013197,64,ratio,-0.1503,69.2,1.2938,1.9856,0.2608,0.2653,113.48,0.1247,3,-0.002,-0.843,Concentrated
CD013232,121,ratio,0.0314,0,0,1.7655,191.6826,0.3044,187.39,0.0709,1,0.125,1.686,Concentrated
CD013255,9,ratio,0.8126,80.6,0.1356,0.6157,0.1087,0.6947,305.33,0.3176,1,0.805,-0.24,Moderate
CD013278,12,ratio,0.1834,0,0,1.2885,35.4385,1.0833,74.4,0.1371,2,-2.336,6.815,Concentrated
CD013284,4,ratio,0.1182,12.0,0.061,1.5075,2.1222,,10.23,0.2707,1,0.126,-0.55,Concentrated
CD013295,66,ratio,-0.3585,52.3,0.206,1.5825,1.904,0.2306,361.43,0.1322,2,-0.371,0.827,Concentrated
CD013332,10,ratio,-0.4722,46.9,0.0966,0.9476,0.894,0.9163,103.1,0.1805,1,-1.3,1.241,Concentrated
CD013342,8,ratio,0.3506,48.4,0.0826,1.3102,5.9481,0.8664,109.96,0.1116,3,2.543,6.748,Concentrated
CD013344,6,ratio,0.5704,0,0,1.664,4.223,0.4055,6.94,0.139,1,0.056,0.363,Concentrated
CD013353,6,difference,-2.1839,73.9,2.4296,1.8819,0.0587,0.4055,7.31,0.2701,2,-0.56,-1.432,Concentrated
CD013355,4,ratio,-0.1682,35.1,0.2861,1.7589,1.559,,31.52,0.257,1,-3.561,15.341,Concentrated
CD013358,6,ratio,0.368,78.6,0.4363,1.0977,0.2226,0.4055,53.0,0.3332,2,1.039,-0.758,Moderate
CD013366,7,ratio,-0.1701,1.3,0.0081,1.7405,13.0398,0.8062,18.76,0.2072,2,-0.505,2.377,Concentrated
CD013396,16,ratio,-0.1489,40.6,0.2353,1.8818,3.4666,0.7781,50.12,0.1736,2,-0.61,1.272,Concentrated
CD013408,5,ratio,-0.4448,34.9,0.0483,0.7105,0.6221,0.2911,60.88,0.2398,2,1.423,0.783,Concentrated
CD013414,15,ratio,0.6069,54.7,0.1791,1.3228,1.28,1.1002,107.78,0.1263,2,0.738,-0.544,Concentrated
CD013421,15,ratio,-0.7669,60.4,0.1345,1.3259,3.7235,1.1002,181.26,0.2017,2,-1.434,4.97,Concentrated
CD013425,21,ratio,0.6876,0,0,1.4955,56.8664,0.4957,80.7,0.0822,2,1.878,4.03,Concentrated
CD013429,4,ratio,0.9228,0,0,0.9829,9.3799,,40.28,0.0891,1,5.807,32.345,Concentrated
CD013445,39,ratio,0.1118,57.2,0.0068,-0.1229,5.125,0.488,8642.43,0.1623,5,3.591,35.498,Concentrated
CD013456,12,ratio,0.3555,17.6,0.0369,1.3433,6.7886,0.8087,82.06,0.1749,3,-1.647,6.377,Concentrated
CD013462,17,ratio,0.299,62.2,0.7111,1.9604,0.7389,0.8853,45.48,0.207,1,0.311,-0.174,Concentrated
CD013474,6,ratio,-0.0732,64.0,0.0504,0.7924,1.8667,0.4055,272.46,0.2203,3,-1.06,2.618,Concentrated
CD013476,3,ratio,1.3113,0,0,1.867,0.5296,,1.32,0.0304,1,0,0,Concentrated
CD013508,4,ratio,0.196,33.9,0.1543,1.3692,0.7719,,17.43,0.2963,1,-1.727,1.768,Concentrated
CD013539,29,ratio,0.0021,0,0,1.4698,182.2277,0.4266,265.05,0.101,3,-0.881,9.257,Concentrated
CD013541,8,ratio,-0.1637,0,0,1.3711,8.9511,0.8664,22.13,0.0887,1,-0.002,-0.308,Concentrated
CD013561,5,ratio,0.2108,36.6,0.1155,1.1843,0.8446,0.0138,29.47,0.2977,1,0.73,0.568,Concentrated
CD013571,4,ratio,0.3044,44.2,0.0172,0.0107,0.3677,,227.35,0.2153,1,0.223,-1.746,Concentrated
CD013590,5,ratio,0.4638,0,0,1.7298,8.3958,0.673,9.57,0.1366,1,1.003,-0.248,Concentrated
CD013591,13,difference,5.4592,91.0,15.7784,5.6868,2892.5928,1.0438,42.28,0.0,9,28.924,6135.376,Concentrated
CD013595,3,ratio,-0.3277,0,0,0.0381,9.1887,,179.35,0.1329,1,0,0,Concentrated
CD013613,3,ratio,-0.032,0,0,0.3805,5.6846,,81.06,0.1109,1,0,0,Concentrated
CD013614,15,ratio,1.0759,80.0,0.1341,0.7967,0.2289,1.0078,510.26,0.2405,1,0.745,-0.479,Concentrated
CD013631,3,ratio,0.4039,42.1,0.1854,1.4062,2.9307,,15.49,0.294,1,0,0,Concentrated
CD013643,6,ratio,1.3222,57.5,0.5311,1.9167,0.8939,0.4055,22.6,0.2809,3,-0.024,0.568,Concentrated
CD013672,7,ratio,0.1359,68.7,0.0265,-0.0035,0.2417,0.2121,1074.91,0.2898,2,2.423,5.696,Concentrated
CD013715,7,ratio,0.5389,55.1,0.126,1.0511,1.3758,0.6082,80.63,0.2288,3,1.295,3.359,Concentrated
CD013719,4,ratio,1.1409,79.9,0.3246,1.0957,0.5929,,60.16,0.4787,1,2.561,5.814,Moderate
CD013726,12,ratio,-0.1767,69.0,0.5466,1.6643,0.5894,0.8087,53.46,0.2559,2,-1.142,1.809,Concentrated
CD013745,3,ratio,0.5183,0,0,0.6822,4.4701,,38.44,0.0284,1,0,0,Concentrated
CD013748,8,ratio,-0.2621,0,0,0.7591,6.9947,0.6931,62.17,0.1375,2,-1.668,3.262,Concentrated
CD013757,6,ratio,-0.7176,53.6,0.178,1.6841,3.3595,0.6365,55.9,0.2762,3,0.058,11.238,Concentrated
CD013758,4,ratio,-0.0619,0,0,1.1164,105.9645,,142.17,0.1117,1,-5.862,113.311,Concentrated
CD013763,21,ratio,-0.7568,14.3,0.0459,1.4494,8.5483,0.4957,78.69,0.0985,1,-0.484,-0.522,Concentrated
CD013764,4,ratio,-0.0005,0,0,-2.291,19.4957,,33549.73,0.1618,1,-6.863,46.428,Concentrated
CD013773,7,ratio,-0.1956,0,0,0.1203,8.8178,0.6082,238.98,0.0644,2,-0.589,1.873,Concentrated
CD013774,3,ratio,-0.7601,97.2,0.1671,-0.0839,0.8713,,754.26,0.8939,1,0,0,Chaotic
CD013781,14,ratio,-0.4986,4.2,0.02,1.7012,17.1962,1.2266,33.92,0.111,2,-0.189,-0.94,Concentrated
CD013789,38,difference,-0.0884,41.9,0.0837,1.1939,2.9071,0.3044,340.11,0.1485,4,-2.39,12.435,Concentrated
CD013800,48,ratio,-0.1472,98.8,0.107,0.699,0.4585,0.2011,51083.39,0.2062,4,-0.869,2.819,Concentrated
CD013816,4,ratio,-0.1595,0,0,2.1203,1.7473,,1.55,0.1645,1,-0.015,-1.921,Concentrated
CD013821,22,ratio,-0.2212,91.0,0.2492,1.0144,0.2985,0.3676,1051.06,0.2291,3,-0.343,-1.271,Concentrated
CD013822,15,ratio,0.3589,94.5,0.0291,0.4991,5.3098,0.8805,10690.04,0.3436,6,8.154,76.436,Moderate
CD013827,14,ratio,-0.2233,14.4,0.0834,1.6195,4.3391,0.8547,29.21,0.1471,2,0.145,-1.051,Concentrated
CD013830,7,ratio,-0.33,0,0,1.728,32.4326,0.4101,32.53,0.1115,3,-0.636,7.488,Concentrated
CD013834,8,difference,0.0319,61.2,0.2173,1.0058,0.102,0.6931,58.88,0.2563,1,0.305,-0.809,Concentrated
CD013844,9,ratio,0.3658,0,0,1.6398,9.5241,0.6947,14.23,0.1384,1,0.108,-0.945,Concentrated
CD013874,4,ratio,-0.1864,0,0,1.6465,3.2987,,5.68,0.1658,1,0.56,-0.452,Concentrated
CD013875,9,ratio,0.7962,24.0,0.0833,1.1862,1.2754,0.5406,34.94,0.1633,1,-0.518,-0.578,Concentrated
CD014040,14,ratio,0.1242,76.5,0.0135,0.0377,14.8059,0.8547,3819.48,0.1181,3,1.692,15.309,Concentrated
CD014089,6,ratio,0.4518,0,0,1.3006,8.7627,0.6365,22.37,0.1902,2,1.198,6.592,Concentrated
CD014145,6,ratio,-0.3455,22.0,0.2127,1.7936,1.7019,0.4055,10.07,0.2125,3,-0.402,0.4,Concentrated
CD014300,9,ratio,-0.0843,83.0,0.2909,1.2859,0.7273,0.6947,202.29,0.2563,2,1.098,3.256,Concentrated
CD014428,6,difference,-13.8595,89.8,36.1601,3.4727,0.2086,0.4055,2.67,0.3785,2,2.349,6.097,Moderate
CD014541,5,ratio,0.7116,22.6,0.0377,0.7132,0.6416,0.0138,40.04,0.1754,2,-0.584,-1.364,Concentrated
CD014544,12,ratio,-0.0016,26.6,0.0768,1.7688,10.8101,1.0397,66.61,0.2039,3,0.545,16.331,Concentrated
CD014585,12,ratio,-0.0548,71.5,0.0188,0.8745,12.3685,0.8087,2010.45,0.2199,4,2.798,25.702,Concentrated
CD014594,7,ratio,1.2091,69.4,0.0918,0.5605,0.0835,0.2121,182.37,0.2869,1,-0.115,-0.989,Concentrated
CD014617,3,ratio,0.0959,7.5,0.0038,0.8563,62.6086,,99.8,0.0,1,0,0,Concentrated
CD014624,38,ratio,0.164,3.9,0.0025,1.0116,78.1618,0.3893,650.4,0.0968,5,1.178,5.78,Concentrated
CD014666,6,ratio,-0.0429,79.5,0.1265,1.2027,1.4695,0.6365,246.39,0.4963,3,-0.128,6.255,Moderate
CD014678,10,ratio,-0.1741,18.7,0.0094,0.6487,6.5953,1.1935,288.73,0.1705,2,1.894,8.549,Concentrated
CD014688,4,difference,0.6343,96.1,0.6906,1.0133,0.3054,,152.39,0.9306,1,0.904,0.045,Chaotic
CD014713,5,ratio,-0.0066,48.7,0.068,1.1857,10.1371,0.0138,109.06,0.2881,3,-4.144,55.759,Concentrated
CD014722,6,ratio,-0.4306,21.1,0.0225,0.7843,2.2949,0.6365,94.75,0.1715,2,0.844,-0.917,Concentrated
CD014736,4,ratio,-0.0827,0,0,1.8174,6.3098,,6.4,0.1232,1,1.584,2.837,Concentrated
CD014741,13,ratio,0.1146,42.4,0.01,0.9032,50.451,0.9372,1142.04,0.1023,5,1.411,47.841,Concentrated
CD014758,22,difference,0.1776,60.3,0.0116,-0.1101,1.1372,0.7541,3049.08,0.2155,3,1.236,7.559,Concentrated
CD014762,7,ratio,0.0794,46.4,0.0258,1.4272,25.9412,0.8062,346.14,0.148,4,2.69,29.094,Concentrated
CD014763,9,ratio,-1.8007,0,0,1.6696,9.7803,1.0027,12.35,0.1262,1,-0.157,0.036,Concentrated
CD014769,27,ratio,-0.1468,4.4,0.0053,1.3209,53.8465,0.8265,266.52,0.0847,4,-0.275,2.002,Concentrated
CD014792,11,ratio,-0.4023,0,0,1.6711,8.7548,0.9165,12.57,0.074,2,1.23,2.45,Concentrated
CD014803,5,ratio,-0.0662,0,0,1.5396,3.3407,0.0138,7.67,0.1419,2,1.283,-0.123,Concentrated
CD014811,4,ratio,0.4246,3.9,0.0253,1.696,5.3785,,10.9,0.2216,1,0.577,0.237,Concentrated
CD014820,17,ratio,-0.0282,18.1,0.0106,0.9935,19.9464,0.6914,417.58,0.1313,3,-2.488,9.946,Concentrated
CD014833,5,ratio,0.225,59.8,0.0399,0.3184,0.9562,0.0138,255.92,0.2979,2,4.255,16.706,Concentrated
CD014844,6,ratio,-0.2497,48.2,0.1509,1.3497,1.7859,0.6365,45.48,0.1775,2,-0.402,-0.706,Concentrated
CD014845,20,difference,-0.0593,11.6,0.0004,-0.3138,41.6334,0.5697,7829.27,0.1054,4,-3.17,13.154,Concentrated
CD014852,4,ratio,-0.5251,70.9,0.3734,1.1275,0.4694,,57.11,0.3741,1,-4.284,17.975,Moderate
CD014855,7,ratio,0.0738,51.2,0.3961,1.5326,0.5658,0.4101,19.64,0.223,2,0.652,-1.231,Concentrated
CD014861,4,ratio,0.0968,55.6,0.0299,-0.0049,0.061,,177.52,0.2984,1,-0.009,-1.706,Concentrated
CD014869,8,ratio,-0.0137,44.0,0.0027,-0.0568,12.2766,1.0397,3596.56,0.2542,3,-6.37,68.445,Concentrated
CD014871,8,difference,0.1317,56.8,0.0072,-0.6128,0.1917,0.8664,1495.6,0.2512,2,-0.189,-1.69,Concentrated
CD014872,13,ratio,1.1036,39.3,0.0816,0.892,0.6568,0.6172,105.4,0.151,1,-0.152,-0.52,Concentrated
CD014889,5,ratio,-0.7803,0,0,1.4155,6.1759,0.2911,14.07,0.1623,1,0.435,-0.095,Concentrated
CD014914,16,ratio,0.2892,44.2,0.0292,0.7922,4.162,0.6048,589.24,0.1412,2,2.483,6.813,Concentrated
CD014923,3,ratio,1.9064,41.8,0.5174,1.6421,0.1104,,4.67,0.2748,1,0,0,Concentrated
CD014932,7,difference,-1.082,69.7,1.9648,2.2402,0.3572,0.4101,10.34,0.3687,2,-1.553,3.348,Moderate
CD014935,3,ratio,0.0359,0,0,1.4636,0.9351,,3.89,0.0639,1,0,0,Concentrated
CD014937,66,ratio,-0.2594,70.2,0.0991,1.4362,4.6169,0.481,2074.46,0.1614,6,-1.895,8.358,Concentrated
CD014941,4,ratio,0.7626,2.9,0.0012,0.0938,1.8049,,101.57,0.2074,1,-1.002,-0.586,Concentrated
CD014944,3,ratio,0.0453,65.5,0.1043,0.5576,0.1175,,120.05,0.4317,1,0,0,Moderate
CD014959,5,ratio,-0.5553,78.0,0.4749,1.5299,1.1416,0.2911,90.24,0.3161,3,-4.24,21.146,Moderate
CD014960,3,ratio,0.4527,7.7,0.0817,1.7629,2.5004,,6.86,0.2683,1,0,0,Concentrated
CD014964,54,ratio,0.3172,74.5,0.0461,0.5352,0.9627,0.5355,3523.8,0.181,2,1.07,2.297,Concentrated
CD014965,8,ratio,1.2666,0,0,1.7119,11.0801,0.8664,13.76,0.1205,2,0.18,2.701,Concentrated
CD014966,28,ratio,-0.0895,91.1,0.0386,0.8406,6.5897,0.5412,9007.76,0.2074,5,-0.777,4.405,Concentrated
CD014967,5,ratio,0.3607,0,0,1.5747,8.4527,0.2911,12.15,0.1979,2,-1.165,0.565,Concentrated
CD015003,10,ratio,0.7143,33.4,0.2923,1.8594,2.1838,1.0549,29.44,0.1391,1,1.978,3.744,Concentrated
